,demand
1021,0.497
1022,0.49351999999999996
1023,0.462
1024,0.406
1025,0.357
1026,0.315
1027,0.294
1028,0.287
1029,0.287
1030,0.27652
1031,0.287
1032,0.28352
1033,0.29052
1034,0.28
1035,0.28352
1036,0.28352
1037,0.294
1038,0.287
1039,0.28352
1040,0.28352
1041,0.26952
1042,0.266
1043,0.24852000000000002
1044,0.217
1045,0.20652
1046,0.20652
1047,0.21
1048,0.22052000000000002
1049,0.231
1050,0.224
1051,0.22752
1052,0.238
1053,0.24852000000000002
1054,0.238
1055,0.238
1056,0.21352000000000002
1057,0.21
1058,0.21352000000000002
1059,0.20652
1060,0.182
1061,0.182
1062,0.19252
1063,0.17852
1064,0.175
1065,0.17152
1066,0.17152
1067,0.175
1068,0.19252
1069,0.19952
1070,0.19952
1071,0.19252
1072,0.175
1073,0.175
1074,0.17152
1075,0.175
1076,0.22052000000000002
1077,0.22748
1078,0.231
1079,0.259
1080,0.315
1081,0.392
1082,0.399
1083,0.462
1084,0.756
1085,0.75952
1086,0.69652
1087,0.67552
1088,0.50752
1089,0.539
1090,0.51452
1091,0.50052
1092,0.539
1093,0.511
1094,0.48652
1095,0.455
1096,0.40252
1097,0.434
1098,0.44451999999999997
1099,0.43051999999999996
1100,0.399
1101,0.40252
1102,0.38151999999999997
1103,0.35352
1104,0.36052
1105,0.38852
1106,0.378
1107,0.37451999999999996
1108,0.364
1109,0.371
1110,0.385
1111,0.39552
1112,0.37451999999999996
1113,0.40252
1114,0.378
1115,0.36052
1116,0.35352
1117,0.343
1118,0.336
1119,0.32552
1120,0.28352
1121,0.27652
1122,0.26952
1123,0.27652
1124,0.25552
1125,0.259
1126,0.259
1127,0.259
1128,0.259
1129,0.259
1130,0.259
1131,0.26252
1132,0.259
1133,0.259
1134,0.26252
1135,0.25552
1136,0.25552
1137,0.252
1138,0.25552
1139,0.24852000000000002
1140,0.23452
1141,0.22752
1142,0.23452
1143,0.23452
1144,0.23452
1145,0.24152
1146,0.231
1147,0.238
1148,0.24852000000000002
1149,0.24852000000000002
1150,0.24852000000000002
1151,0.24852000000000002
1152,0.24852000000000002
1153,0.24852000000000002
1154,0.24852000000000002
1155,0.245
1156,0.231
1157,0.231
1158,0.231
