,pv
1150,0.0
1151,0.0
1152,0.0
1153,0.0
1154,0.0
1155,0.0
1156,0.0
1157,0.0
1158,0.0
1159,0.0
1160,0.0
1161,0.0
1162,0.0
1163,0.0
1164,0.0
1165,0.0
1166,0.0
1167,0.0
1168,0.0
1169,0.0
1170,0.0
1171,0.0
1172,0.012311371053737034
1173,0.012311371053737034
1174,0.012311371053737034
1175,0.012311371053737034
1176,0.07890910265938542
1177,0.07890910265938542
1178,0.07890910265938542
1179,0.07890910265938542
1180,0.22544996283969368
1181,0.22544996283969368
1182,0.22544996283969368
1183,0.22544996283969368
1184,0.49395741105761465
1185,0.49395741105761465
1186,0.49395741105761465
1187,0.49395741105761465
1188,0.4904514169386371
1189,0.4904514169386371
1190,0.4904514169386371
1191,0.4904514169386371
1192,0.11928458331986945
1193,0.11928458331986945
1194,0.11928458331986945
1195,0.11928458331986945
1196,0.18861278960803954
1197,0.18861278960803954
1198,0.18861278960803954
1199,0.18861278960803954
1200,0.24638898762400233
1201,0.24638898762400233
1202,0.24638898762400233
1203,0.24638898762400233
1204,0.1916502407341584
1205,0.1916502407341584
1206,0.1916502407341584
1207,0.1916502407341584
1208,0.17386176366045175
1209,0.17386176366045175
1210,0.17386176366045175
1211,0.17386176366045175
1212,0.5591656703396128
1213,0.5591656703396128
1214,0.5591656703396128
1215,0.5591656703396128
1216,0.28510033282709146
1217,0.28510033282709146
1218,0.28510033282709146
1219,0.28510033282709146
1220,0.12267748085436392
1221,0.12267748085436392
1222,0.12267748085436392
1223,0.12267748085436392
1224,0.061928458331986944
1225,0.061928458331986944
1226,0.061928458331986944
1227,0.061928458331986944
1228,0.011261188483536369
1229,0.011261188483536369
1230,0.011261188483536369
1231,0.011261188483536369
1232,0.0
1233,0.0
1234,0.0
1235,0.0
1236,0.0
1237,0.0
1238,0.0
1239,0.0
1240,0.0
1241,0.0
1242,0.0
1243,0.0
1244,0.0
1245,0.0
1246,0.0
1247,0.0
1248,0.0
1249,0.0
1250,0.0
1251,0.0
1252,0.0
1253,0.0
1254,0.0
1255,0.0
1256,0.0
1257,0.0
1258,0.0
1259,0.0
1260,0.0
1261,0.0
1262,0.0
1263,0.0
1264,0.006123372217016188
1265,0.006123372217016188
1266,0.006123372217016188
1267,0.006123372217016188
1268,0.0563705690373865
1269,0.0563705690373865
1270,0.0563705690373865
1271,0.0563705690373865
1272,0.18578537499596084
1273,0.18578537499596084
1274,0.18578537499596084
1275,0.18578537499596084
1276,0.2801725530746114
1277,0.2801725530746114
1278,0.2801725530746114
1279,0.2801725530746114
1280,0.5898148447345463
1281,0.5898148447345463
1282,0.5898148447345463
1283,0.5898148447345463
1284,0.66502407341584
1285,0.66502407341584
1286,0.66502407341584
1287,0.66502407341584
1288,0.7112805764694479
1289,0.7112805764694479
1290,0.7112805764694479
1291,0.7112805764694479
1292,0.3726370892170484
1293,0.3726370892170484
1294,0.3726370892170484
1295,0.3726370892170484
1296,0.7024428862248361
1297,0.7024428862248361
1298,0.7024428862248361
1299,0.7024428862248361
1300,0.7343199663941578
1301,0.7343199663941578
1302,0.7343199663941578
1303,0.7343199663941578
1304,0.3618606003812971
1305,0.3618606003812971
1306,0.3618606003812971
1307,0.3618606003812971
1308,0.35273209034801434
1309,0.35273209034801434
1310,0.35273209034801434
1311,0.35273209034801434
1312,0.3780980385820919
1313,0.3780980385820919
1314,0.3780980385820919
1315,0.3780980385820919
1316,0.13624907099234174
1317,0.13624907099234174
1318,0.13624907099234174
1319,0.13624907099234174
1320,0.06179920509257763
1321,0.06179920509257763
1322,0.06179920509257763
1323,0.06179920509257763
1324,0.0008724593660128607
1325,0.0008724593660128607
1326,0.0008724593660128607
1327,0.0008724593660128607
1328,0.0
1329,0.0
1330,0.0
1331,0.0
1332,0.0
1333,0.0
1334,0.0
1335,0.0
1336,0.0
1337,0.0
1338,0.0
1339,0.0
1340,0.0
1341,0.0
1342,0.0
1343,0.0
1344,0.0
1345,0.0
1346,0.0
1347,0.0
1348,0.0
1349,0.0
1350,0.0
1351,0.0
1352,0.0
1353,0.0
1354,0.0
1355,0.0
1356,0.0
1357,0.0
1358,0.0
1359,0.0
1360,0.0
1361,0.0
1362,0.0
1363,0.0
1364,0.053058454777522863
1365,0.053058454777522863
1366,0.053058454777522863
1367,0.053058454777522863
1368,0.1615503926067147
1369,0.1615503926067147
1370,0.1615503926067147
1371,0.1615503926067147
1372,0.35712670048793105
1373,0.35712670048793105
1374,0.35712670048793105
1375,0.35712670048793105
1376,0.4037709632597667
1377,0.4037709632597667
1378,0.4037709632597667
1379,0.4037709632597667
1380,0.08277054318673863
1381,0.08277054318673863
1382,0.08277054318673863
1383,0.08277054318673863
1384,0.18055061879988366
1385,0.18055061879988366
1386,0.18055061879988366
1387,0.18055061879988366
1388,0.0955989271981129
1389,0.0955989271981129
1390,0.0955989271981129
1391,0.0955989271981129
1392,0.2805603127928394
1393,0.2805603127928394
1394,0.2805603127928394
1395,0.2805603127928394
1396,0.31752673926390285
1397,0.31752673926390285
1398,0.31752673926390285
1399,0.31752673926390285
1400,0.7555659676220636
1401,0.7555659676220636
1402,0.7555659676220636
1403,0.7555659676220636
1404,0.40461110931592725
1405,0.40461110931592725
1406,0.40461110931592725
1407,0.40461110931592725
1408,0.1456199308495169
1409,0.1456199308495169
1410,0.1456199308495169
1411,0.1456199308495169
1412,0.11495459979965747
1413,0.11495459979965747
1414,0.11495459979965747
1415,0.11495459979965747
1416,0.0592949235790222
1417,0.0592949235790222
1418,0.0592949235790222
1419,0.0592949235790222
1420,0.0
1421,0.0
1422,0.0
1423,0.0
1424,0.0
1425,0.0
1426,0.0
1427,0.0
1428,0.0
1429,0.0
1430,0.0
1431,0.0
1432,0.0
1433,0.0
1434,0.0
1435,0.0
1436,0.0
1437,0.0
1438,0.0
1439,0.0
1440,0.0
1441,0.0
1442,0.0
1443,0.0
1444,0.0
1445,0.0
1446,0.0
1447,0.0
1448,0.0
1449,0.0
1450,0.0
1451,0.0
1452,0.0
1453,0.0
1454,0.0
1455,0.0
1456,0.0030212944711926846
1457,0.0030212944711926846
1458,0.0030212944711926846
1459,0.0030212944711926846
1460,0.04291207548389181
1461,0.04291207548389181
1462,0.04291207548389181
1463,0.04291207548389181
1464,0.195253174782693
1465,0.195253174782693
1466,0.195253174782693
1467,0.195253174782693
1468,0.45741105761463147
